,Summary
0,Partly Cloudy
1,Partly Cloudy
2,Mostly Cloudy
3,Partly Cloudy
4,Mostly Cloudy
5,Partly Cloudy
6,Partly Cloudy
7,Partly Cloudy
8,Partly Cloudy
9,Partly Cloudy
10,Partly Cloudy
11,Partly Cloudy
12,Partly Cloudy
13,Partly Cloudy
14,Partly Cloudy
15,Partly Cloudy
16,Partly Cloudy
17,Mostly Cloudy
18,Mostly Cloudy
19,Mostly Cloudy
20,Mostly Cloudy
21,Mostly Cloudy
22,Partly Cloudy
23,Mostly Cloudy
24,Partly Cloudy
25,Partly Cloudy
26,Mostly Cloudy
27,Partly Cloudy
28,Partly Cloudy
29,Partly Cloudy
30,Mostly Cloudy
31,Mostly Cloudy
32,Mostly Cloudy
33,Mostly Cloudy
34,Mostly Cloudy
35,Mostly Cloudy
36,Mostly Cloudy
37,Mostly Cloudy
38,Mostly Cloudy
39,Mostly Cloudy
40,Mostly Cloudy
41,Mostly Cloudy
42,Mostly Cloudy
43,Mostly Cloudy
44,Mostly Cloudy
45,Mostly Cloudy
46,Overcast
47,Overcast
48,Overcast
49,Overcast
50,Overcast
51,Overcast
52,Overcast
53,Overcast
54,Mostly Cloudy
55,Mostly Cloudy
56,Partly Cloudy
57,Partly Cloudy
58,Partly Cloudy
59,Partly Cloudy
60,Mostly Cloudy
61,Mostly Cloudy
62,Mostly Cloudy
63,Mostly Cloudy
64,Mostly Cloudy
65,Overcast
66,Foggy
67,Foggy
68,Overcast
69,Overcast
70,Overcast
71,Overcast
72,Foggy
73,Foggy
74,Mostly Cloudy
75,Overcast
76,Overcast
77,Overcast
78,Overcast
79,Overcast
80,Breezy and Mostly Cloudy
81,Breezy and Mostly Cloudy
82,Overcast
83,Mostly Cloudy
84,Mostly Cloudy
85,Mostly Cloudy
86,Mostly Cloudy
87,Mostly Cloudy
88,Overcast
89,Overcast
90,Overcast
91,Overcast
92,Mostly Cloudy
93,Overcast
94,Mostly Cloudy
95,Overcast
96,Mostly Cloudy
97,Overcast
98,Partly Cloudy
99,Overcast
100,Overcast
101,Overcast
102,Overcast
103,Overcast
104,Overcast
105,Overcast
106,Overcast
107,Overcast
108,Overcast
109,Overcast
110,Overcast
111,Overcast
112,Overcast
113,Overcast
114,Overcast
115,Overcast
116,Overcast
117,Overcast
118,Overcast
119,Mostly Cloudy
120,Mostly Cloudy
121,Partly Cloudy
122,Partly Cloudy
123,Mostly Cloudy
124,Mostly Cloudy
125,Mostly Cloudy
126,Foggy
127,Overcast
128,Mostly Cloudy
129,Mostly Cloudy
130,Mostly Cloudy
131,Mostly Cloudy
132,Partly Cloudy
133,Partly Cloudy
134,Mostly Cloudy
135,Partly Cloudy
136,Partly Cloudy
137,Partly Cloudy
138,Partly Cloudy
139,Partly Cloudy
140,Mostly Cloudy
141,Mostly Cloudy
142,Mostly Cloudy
143,Mostly Cloudy
144,Mostly Cloudy
145,Mostly Cloudy
146,Mostly Cloudy
147,Mostly Cloudy
148,Mostly Cloudy
149,Mostly Cloudy
150,Mostly Cloudy
151,Partly Cloudy
152,Partly Cloudy
153,Partly Cloudy
154,Partly Cloudy
155,Partly Cloudy
156,Partly Cloudy
157,Partly Cloudy
158,Partly Cloudy
159,Mostly Cloudy
160,Mostly Cloudy
161,Mostly Cloudy
162,Mostly Cloudy
163,Mostly Cloudy
164,Mostly Cloudy
165,Mostly Cloudy
166,Overcast
167,Overcast
168,Overcast
169,Overcast
170,Partly Cloudy
171,Overcast
172,Overcast
173,Overcast
174,Overcast
175,Mostly Cloudy
176,Mostly Cloudy
177,Mostly Cloudy
178,Mostly Cloudy
179,Mostly Cloudy
180,Overcast
181,Mostly Cloudy
182,Overcast
183,Overcast
184,Overcast
185,Mostly Cloudy
186,Mostly Cloudy
187,Mostly Cloudy
188,Mostly Cloudy
189,Mostly Cloudy
190,Mostly Cloudy
191,Mostly Cloudy
192,Mostly Cloudy
193,Mostly Cloudy
194,Partly Cloudy
195,Mostly Cloudy
196,Mostly Cloudy
197,Mostly Cloudy
198,Mostly Cloudy
199,Mostly Cloudy
200,Partly Cloudy
201,Partly Cloudy
202,Partly Cloudy
203,Partly Cloudy
204,Mostly Cloudy
205,Mostly Cloudy
206,Mostly Cloudy
207,Partly Cloudy
208,Partly Cloudy
209,Partly Cloudy
210,Mostly Cloudy
211,Mostly Cloudy
212,Mostly Cloudy
213,Partly Cloudy
214,Partly Cloudy
215,Partly Cloudy
216,Partly Cloudy
217,Partly Cloudy
218,Mostly Cloudy
219,Partly Cloudy
220,Partly Cloudy
221,Partly Cloudy
222,Foggy
223,Clear
224,Partly Cloudy
225,Partly Cloudy
226,Partly Cloudy
227,Partly Cloudy
228,Partly Cloudy
229,Partly Cloudy
230,Partly Cloudy
231,Partly Cloudy
232,Partly Cloudy
233,Mostly Cloudy
234,Mostly Cloudy
235,Mostly Cloudy
236,Mostly Cloudy
237,Mostly Cloudy
238,Mostly Cloudy
239,Overcast
240,Overcast
241,Overcast
242,Foggy
243,Overcast
244,Overcast
245,Overcast
246,Overcast
247,Overcast
248,Mostly Cloudy
249,Overcast
250,Overcast
251,Mostly Cloudy
252,Mostly Cloudy
253,Mostly Cloudy
254,Overcast
255,Mostly Cloudy
256,Mostly Cloudy
257,Partly Cloudy
258,Mostly Cloudy
259,Overcast
260,Overcast
261,Overcast
262,Mostly Cloudy
263,Mostly Cloudy
264,Mostly Cloudy
265,Mostly Cloudy
266,Partly Cloudy
267,Mostly Cloudy
268,Mostly Cloudy
269,Mostly Cloudy
270,Mostly Cloudy
271,Partly Cloudy
272,Partly Cloudy
273,Mostly Cloudy
274,Mostly Cloudy
275,Mostly Cloudy
276,Mostly Cloudy
277,Partly Cloudy
278,Partly Cloudy
279,Partly Cloudy
280,Partly Cloudy
281,Partly Cloudy
282,Mostly Cloudy
283,Partly Cloudy
284,Partly Cloudy
285,Partly Cloudy
286,Partly Cloudy
287,Partly Cloudy
288,Partly Cloudy
289,Foggy
290,Mostly Cloudy
291,Foggy
292,Foggy
293,Foggy
294,Foggy
295,Foggy
296,Foggy
297,Foggy
298,Overcast
299,Partly Cloudy
300,Partly Cloudy
301,Partly Cloudy
302,Overcast
303,Mostly Cloudy
304,Overcast
305,Overcast
306,Overcast
307,Overcast
308,Overcast
309,Clear
310,Mostly Cloudy
311,Mostly Cloudy
312,Mostly Cloudy
313,Foggy
314,Foggy
315,Overcast
316,Overcast
317,Overcast
318,Foggy
319,Foggy
320,Foggy
321,Overcast
322,Overcast
323,Overcast
324,Mostly Cloudy
325,Partly Cloudy
326,Partly Cloudy
327,Partly Cloudy
328,Mostly Cloudy
329,Partly Cloudy
330,Partly Cloudy
331,Partly Cloudy
332,Partly Cloudy
333,Partly Cloudy
334,Foggy
335,Foggy
336,Foggy
337,Clear
338,Clear
339,Foggy
340,Foggy
341,Foggy
342,Foggy
343,Foggy
344,Foggy
345,Mostly Cloudy
346,Mostly Cloudy
347,Partly Cloudy
348,Partly Cloudy
349,Partly Cloudy
350,Partly Cloudy
351,Partly Cloudy
352,Partly Cloudy
353,Partly Cloudy
354,Partly Cloudy
355,Partly Cloudy
356,Partly Cloudy
357,Clear
358,Clear
359,Clear
360,Clear
361,Clear
362,Partly Cloudy
363,Clear
364,Foggy
365,Foggy
366,Foggy
367,Partly Cloudy
368,Partly Cloudy
369,Partly Cloudy
370,Partly Cloudy
371,Partly Cloudy
372,Partly Cloudy
373,Partly Cloudy
374,Partly Cloudy
375,Partly Cloudy
376,Partly Cloudy
377,Partly Cloudy
378,Partly Cloudy
379,Partly Cloudy
380,Partly Cloudy
381,Partly Cloudy
382,Partly Cloudy
383,Partly Cloudy
384,Partly Cloudy
385,Partly Cloudy
386,Clear
387,Partly Cloudy
388,Partly Cloudy
389,Partly Cloudy
390,Foggy
391,Clear
392,Clear
393,Clear
394,Clear
395,Partly Cloudy
396,Partly Cloudy
397,Partly Cloudy
398,Partly Cloudy
399,Partly Cloudy
400,Partly Cloudy
401,Partly Cloudy
402,Partly Cloudy
403,Partly Cloudy
404,Partly Cloudy
405,Partly Cloudy
406,Clear
407,Clear
408,Clear
409,Clear
410,Clear
411,Clear
412,Clear
413,Partly Cloudy
414,Clear
415,Mostly Cloudy
416,Partly Cloudy
417,Partly Cloudy
418,Partly Cloudy
419,Partly Cloudy
420,Partly Cloudy
421,Mostly Cloudy
422,Mostly Cloudy
423,Mostly Cloudy
424,Mostly Cloudy
425,Mostly Cloudy
426,Mostly Cloudy
427,Mostly Cloudy
428,Mostly Cloudy
429,Mostly Cloudy
430,Partly Cloudy
431,Partly Cloudy
432,Clear
433,Clear
434,Partly Cloudy
435,Partly Cloudy
436,Partly Cloudy
437,Partly Cloudy
438,Clear
439,Mostly Cloudy
440,Mostly Cloudy
441,Mostly Cloudy
442,Mostly Cloudy
443,Mostly Cloudy
444,Mostly Cloudy
445,Mostly Cloudy
446,Mostly Cloudy
447,Mostly Cloudy
448,Mostly Cloudy
449,Mostly Cloudy
450,Mostly Cloudy
451,Mostly Cloudy
452,Mostly Cloudy
453,Mostly Cloudy
454,Partly Cloudy
455,Clear
456,Mostly Cloudy
457,Partly Cloudy
458,Mostly Cloudy
459,Partly Cloudy
460,Partly Cloudy
461,Partly Cloudy
462,Partly Cloudy
463,Mostly Cloudy
464,Mostly Cloudy
465,Mostly Cloudy
466,Mostly Cloudy
467,Mostly Cloudy
468,Mostly Cloudy
469,Mostly Cloudy
470,Mostly Cloudy
471,Mostly Cloudy
472,Overcast
473,Overcast
474,Overcast
475,Mostly Cloudy
476,Mostly Cloudy
477,Mostly Cloudy
478,Mostly Cloudy
479,Mostly Cloudy
480,Mostly Cloudy
481,Mostly Cloudy
482,Partly Cloudy
483,Mostly Cloudy
484,Mostly Cloudy
485,Mostly Cloudy
486,Overcast
487,Mostly Cloudy
488,Mostly Cloudy
489,Mostly Cloudy
490,Mostly Cloudy
491,Mostly Cloudy
492,Mostly Cloudy
493,Mostly Cloudy
494,Mostly Cloudy
495,Partly Cloudy
496,Partly Cloudy
497,Partly Cloudy
498,Mostly Cloudy
499,Mostly Cloudy
500,Mostly Cloudy
501,Partly Cloudy
502,Mostly Cloudy
503,Partly Cloudy
504,Partly Cloudy
505,Partly Cloudy
506,Mostly Cloudy
507,Partly Cloudy
508,Partly Cloudy
509,Partly Cloudy
510,Mostly Cloudy
511,Mostly Cloudy
512,Partly Cloudy
513,Clear
514,Mostly Cloudy
515,Mostly Cloudy
516,Mostly Cloudy
517,Mostly Cloudy
518,Mostly Cloudy
519,Mostly Cloudy
520,Mostly Cloudy
521,Mostly Cloudy
522,Mostly Cloudy
523,Mostly Cloudy
524,Mostly Cloudy
525,Mostly Cloudy
526,Mostly Cloudy
527,Mostly Cloudy
528,Partly Cloudy
529,Partly Cloudy
530,Mostly Cloudy
531,Partly Cloudy
532,Partly Cloudy
533,Partly Cloudy
534,Foggy
535,Clear
536,Clear
537,Partly Cloudy
538,Partly Cloudy
539,Partly Cloudy
540,Partly Cloudy
541,Partly Cloudy
542,Partly Cloudy
543,Partly Cloudy
544,Partly Cloudy
545,Partly Cloudy
546,Partly Cloudy
547,Mostly Cloudy
548,Mostly Cloudy
549,Partly Cloudy
550,Partly Cloudy
551,Partly Cloudy
552,Mostly Cloudy
553,Mostly Cloudy
554,Mostly Cloudy
555,Mostly Cloudy
556,Mostly Cloudy
557,Mostly Cloudy
558,Mostly Cloudy
559,Mostly Cloudy
560,Mostly Cloudy
561,Mostly Cloudy
562,Mostly Cloudy
563,Mostly Cloudy
564,Mostly Cloudy
565,Mostly Cloudy
566,Partly Cloudy
567,Partly Cloudy
568,Partly Cloudy
569,Partly Cloudy
570,Mostly Cloudy
571,Mostly Cloudy
572,Mostly Cloudy
573,Mostly Cloudy
574,Mostly Cloudy
575,Mostly Cloudy
576,Partly Cloudy
577,Mostly Cloudy
578,Partly Cloudy
579,Partly Cloudy
580,Partly Cloudy
581,Mostly Cloudy
582,Overcast
583,Mostly Cloudy
584,Overcast
585,Overcast
586,Overcast
587,Overcast
588,Overcast
589,Overcast
590,Overcast
591,Mostly Cloudy
592,Partly Cloudy
593,Partly Cloudy
594,Partly Cloudy
595,Partly Cloudy
596,Partly Cloudy
597,Clear
598,Clear
599,Clear
600,Partly Cloudy
601,Clear
602,Mostly Cloudy
603,Partly Cloudy
604,Partly Cloudy
605,Partly Cloudy
606,Foggy
607,Foggy
608,Clear
609,Mostly Cloudy
610,Mostly Cloudy
611,Mostly Cloudy
612,Mostly Cloudy
613,Mostly Cloudy
614,Overcast
615,Mostly Cloudy
616,Mostly Cloudy
617,Overcast
618,Overcast
619,Overcast
620,Overcast
621,Overcast
622,Overcast
623,Overcast
624,Overcast
625,Overcast
626,Overcast
627,Overcast
628,Overcast
629,Overcast
630,Overcast
631,Overcast
632,Overcast
633,Overcast
634,Overcast
635,Overcast
636,Overcast
637,Overcast
638,Overcast
639,Overcast
640,Overcast
641,Overcast
642,Overcast
643,Overcast
644,Overcast
645,Overcast
646,Overcast
647,Overcast
648,Overcast
649,Overcast
650,Clear
651,Overcast
652,Overcast
653,Overcast
654,Overcast
655,Overcast
656,Mostly Cloudy
657,Mostly Cloudy
658,Partly Cloudy
659,Mostly Cloudy
660,Mostly Cloudy
661,Partly Cloudy
662,Mostly Cloudy
663,Partly Cloudy
664,Partly Cloudy
665,Partly Cloudy
666,Partly Cloudy
667,Partly Cloudy
668,Partly Cloudy
669,Partly Cloudy
670,Clear
671,Partly Cloudy
672,Partly Cloudy
673,Clear
674,Clear
675,Clear
676,Partly Cloudy
677,Partly Cloudy
678,Clear
679,Clear
680,Clear
681,Clear
682,Clear
683,Partly Cloudy
